,5830.T      # いよぎんホールディングス,5831.T      # しずおかフィナンシャルグループ,5844.T      # 京都フィナンシャルグループ,7167.T      # めぶきフィナンシャルグループ,7186.T      # コンコルディア・フィナンシャルグループ,8331.T      # 千葉銀行,7173.T      # 東京きらぼしフィナンシャルグループ,7180.T      # 九州フィナンシャルグループ,7184.T      # 富山第一銀行,R_BANK9
2025-10-10 02:30:00+00:00,-1.2563983248022326,-1.8271604938271624,-3.0846710733396288,-2.7158419675108236,-1.2449977767896803,-1.3473545842918155,-1.8995929443690662,-2.330898552277083,-1.5221707478491053,-1.914342940561844
2025-10-10 03:30:00+00:00,-1.2098650535132593,-1.8271604938271624,-3.242052250550831,-2.8426464890530467,-1.3339261894175225,-1.3473545842918155,-1.7639077340569909,-2.570840914782524,-1.8530774321641297,-1.9989812379619205
2025-10-10 03:35:00+00:00,-1.1633317822242861,-1.8271604938271624,-3.336480956877552,-2.863782725934727,-1.3783903957314325,-1.478803812027607,-1.6282225237449155,-2.5822710587151687,-1.588352084712108,-1.9829773148661063
2025-10-10 03:40:00+00:00,-1.1865984178687783,-1.8271604938271624,-3.2105760151085905,-2.800380465163621,-1.2449977767896803,-1.445941505093662,-1.6282225237449155,-2.5251412606088874,-1.6545334215751106,-1.947061319975601
2025-10-10 03:45:00+00:00,-1.3029315960912058,-1.8765432098765467,-3.336480956877552,-2.863782725934727,-1.3783903957314325,-1.5773907328294423,-1.6282225237449155,-2.6051173988758336,-1.8530774321641297,-2.0468818857917537
2025-10-10 03:50:00+00:00,-1.4192647743136333,-1.9012345679012332,-3.4309096632042846,-2.800380465163621,-1.2894619831036014,-1.445941505093662,-1.3568521031207648,-2.707953825008058,-1.8530774321641297,-2.0227862576747766
2025-10-10 03:55:00+00:00,-1.2796649604467247,-1.851851851851849,-3.4309096632042846,-2.7898091217858134,-1.2005335704757703,-1.445941505093662,-1.3568521031207648,-2.6165475428084672,-1.786896095301127,-1.9732229348987183
2025-10-10 04:00:00+00:00,-1.37273150302466,-1.8765432098765467,-3.525338369531006,-2.7792442282819407,-1.2449977767896803,-1.5116661189615521,-1.2211668928086894,-2.73080713902103,-1.8530774321641297,-2.012841407828804
2025-10-10 04:05:00+00:00,-1.2331316891577515,-1.9012345679012332,-3.525338369531006,-2.7581079914002493,-1.2449977767896803,-1.445941505093662,-1.085481682496603,-2.639400856821439,-1.8530774321641297,-1.9651902079284171
2025-10-10 04:10:00+00:00,-1.2331316891577515,-1.925925925925931,-3.5882908404154867,-2.7792442282819407,-1.2005335704757703,-1.5445284258954972,-0.9497964721845276,-2.707953825008058,-1.786896095301127,-1.9684778969606767
2025-10-10 04:15:00+00:00,-1.1865984178687783,-1.975308641975304,-3.4938621340887654,-2.768679334778057,-1.2894619831036014,-1.5445284258954972,-1.085481682496603,-2.8107902511402827,-1.786896095301127,-1.993511885183113
2025-10-10 04:20:00+00:00,-1.140065146579805,-1.9506172839506175,-3.4938621340887654,-2.7898091217858134,-1.2894619831036014,-1.6431153466973436,-0.9497964721845276,-2.7765067931946663,-1.8530774321641297,-1.9873679681943637
2025-10-10 04:25:00+00:00,-1.140065146579805,-2.049382716049386,-3.4938621340887654,-2.863782725934727,-1.3783903957314325,-1.5116661189615521,-0.9497964721845276,-2.650824026901777,-2.1178027796161514,-2.0172858351164584
2025-10-10 04:30:00+00:00,-1.1633317822242861,-2.0987654320987703,-3.525338369531006,-2.9800288038470124,-1.3783903957314325,-1.6759776536312887,-1.2211668928086894,-2.799360107207638,-2.382528127068162,-2.1360986182386985
